attack	comment
0	"`NEWLINE_TOKEN:Yes, the evidence length is no longer an issue, so feel free to do so. I was going to do it for you, but I didn't want to step on any toes. I apologize for the inconvenience.  `"
0	"`NEWLINE_TOKENNEWLINE_TOKEN== Point Grey Secondary ==NEWLINE_TOKENNEWLINE_TOKENJust wondering, how's the Pt. Grey Secondary article coming along? ) e.... `"
0	"`NEWLINE_TOKENNEWLINE_TOKEN== U.S. in title, US in article ==NEWLINE_TOKENNEWLINE_TOKENAny reason this shouldn't be moved to List of US Highways in Michigan to be consistent with all the usages of ``US Highway`` within the article?   `"
1	"`NEWLINE_TOKEN::This user apparently doesn't when to know to stop. He keep's spamming the Survivor Series (2002) article, and when I remove it he says stuff like ``Who the fuck cares?`` and ``stop being ignorant, leave it fucking alone``.  `"
0	 unblock request is not posting
1	NEWLINE_TOKENNEWLINE_TOKENYall are such babies.
0	NEWLINE_TOKEN::I did not realize it was him since the comment was not signed. I thought it was Lukeno94. And also as he asked I already provided a proof.   
0	"NEWLINE_TOKENNEWLINE_TOKEN:I'd call it more extrapolation or mere enlargement ?Çö I was trying to duplicate the postage stamp as accurately as possible; consequently, any other fairly accurate duplications would look quite similar.  The outline of the state doesn't match all that well to mine?Çª which I s'pose could be explained by processing, but still, I'm not entirely convinced.  eBay is of course inherently lame and people shouldn't have to pay $15 for a badge they can download for free, but I'm not sure I'm the entity legally entitled or behooved to curtail incidents such as this, at least at this time. ?ª   "
1	"`NEWLINE_TOKEN{| cellspacing=``0`` style=``width:238px;background:#E0E8FF``NEWLINE_TOKEN| style=``width:45px;height:45px;background:#99B3FF;text-align:center;font-size:8pt`` | chauvin-0NEWLINE_TOKEN| style=``font-size:8pt;padding:4pt;line-height:1.25em`` | This user chooses not to listen to ultra-nationalist rhetoric, of whatever nation.NEWLINE_TOKEN|} NEWLINE_TOKEN`"
0	"`NEWLINE_TOKENNEWLINE_TOKEN== Additional Proofs that Ramdasias are Chamar - Will post to Chamar discussion page after block has expired ==NEWLINE_TOKENNEWLINE_TOKENGlossary of the Tribes and Castes of the Punjab and North West Frontier ProvinceNEWLINE_TOKEN By H.A. Rose, IBBETSON, Maclagan  (http://www.archive.org/stream/glossaryoftribes03rose#page/n5/mode/2up, (p148 of the book or P311 of online book) NEWLINE_TOKENHe states that ``Just as the Muhammadan Chamar is styled Mochi so that Sikh Chamar is called Ramdasia....``NEWLINE_TOKENNEWLINE_TOKENPanjab castes by Sir Denzil Ibbetson (1916) (http://www.archive.org/stream/panjabcastes00ibbe#page/n7/mode/2up) NEWLINE_TOKENOn Page 269, he states: ``Similarly, if the Ramdasias do not follow the occupation of Chamars, it is no reason to separate them from that castes. So if a Ramdasia is Julaha, that is a weaver, and if he is 'Bazzaz' that is a draper, his caste remains unchanged. If a Chamar, a leather-worker becomes a Sikh and receives 'pahul' to-day, he at once joins the Ramdasias. The Ramdasias do receive the daughters in marriage of ordinary Chamars, but give them 'pahul' before associating with them``.........``The the Ramdasi is still a Chamar``. NEWLINE_TOKENOn page 300: NEWLINE_TOKEN``The Sikh Chamar or Ramdasia. ?Çö It will be seen from Table VIII A that in the north and centre of the Eastern Plains a very considerable number of Chamiirs have embraced the Sikh religion. These men are called Ramdasia after Gui-u Ram Das, though what connection they have with him I have been unable to discover. Perhaps he was the first Guru to admit Chamars to the religion. Many, perhaps most of the Ramdasia Chamars have abandoned leather-work for the loom ; they do not eat carrion, and they occupy a much NEWLINE_TOKENhigher position than the Hindu Chamars, though they are not admitted to religious equality by the other Sikhs. The Ramdasia are often confused with the Raidiisi oi Rabdasi Chamars. The former are true Sikhs, and take the pdhul. The latter are Hindus, or if Sikhs, only Nanakpanthi Sikhs and do not take the pcikul ; and are followers of Bhagat Rav Das or Rab Das, himself a Chamar. They are apparently as true Hindus as any Chamars can be, and are wrongly called Sikhs by confusion with the Ranidasias``.NEWLINE_TOKENNEWLINE_TOKENThe Religious Life of India - The Chamars by G.W Briggs ISBN: 8175361840 (Available on google books)NEWLINE_TOKENOn page P.28``, the various subcastes of chamars originated due to different occupations. Quote: ``The Chandar does not tanning and is the highest of the subcastes``.....``The Ramdasi is a weaver``...``The Bonas are weavers of blankets who are Sikhs``.NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENThe Chamar Castes of PunjabNEWLINE_TOKENNEWLINE_TOKENIn Punjab, the Chamar is known as Adharmi, Chamar, Jatia Chamar, Rehgar, Raigar, Ramdasia, RavidasiNEWLINE_TOKENNEWLINE_TOKEN(Source: THE CONSTITUTION (SCHEDULED CASTES) ORDER, 1950](C.O.19) (http://lawmin.nic.in/ld/subord/rule3a.htm)NEWLINE_TOKENNEWLINE_TOKEN(Source:List of notified Scheduled Castes: http://www.censusindia.gov.in/Tables_Published/SCST/SC%20Lists.pdfNEWLINE_TOKENNEWLINE_TOKENChamar Castes of DelhiNEWLINE_TOKENNEWLINE_TOKENIn Delhi, the chamar is known as CHAMAR, CHANWAR, CHAMAR, JATYA OR JATAV,CHAMAR MOCHI, RAMDASIA, RAVIDASI, RAIDASI,REHGARH OR RAIGARNEWLINE_TOKENNEWLINE_TOKEN(Source:LIST OF SC/ST UNDER GOVT. OF NCT OF DELHI) http://dcnorth.delhigovt.nic.in/SC%20List.pdfNEWLINE_TOKENNEWLINE_TOKENChamar Castes of Jammu & KashmirNEWLINE_TOKENNEWLINE_TOKENChamar Castes of Jammu & KashmirNEWLINE_TOKENNEWLINE_TOKENThe Chamar is known as Chamar or RamdasiaNEWLINE_TOKEN- (Source:The Constitution ( Jammu & Kashmir) Scheduled Castes Order, 1956) http://www.censusindia.gov.in/Tables_Published/SCST/SC%20Lists.pdfNEWLINE_TOKENNEWLINE_TOKENDalits and the Emancipatory Sikh Religion Raj Kumar Hans from History department of MS University of BarodaNEWLINE_TOKEN(Based on a Draft Paper presented at University of Pennsylvania at the Conference on Dalit Challenges to Academic Knowledge: The Great Paradoxes) http://punjabpanorama.blogspot.com/2009/06/dalits-and-emancipatory-sikh-religion.htmlNEWLINE_TOKENNEWLINE_TOKEN``Another dalit Naxalite poet Lal Singh Dil was born in a Ramdasia Sikh (Chamar) family in 1943.``NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENOn Poet Lal Singh Dil  http://apnaorg.com/articles/nirpuma-4/NEWLINE_TOKENNEWLINE_TOKENBorn to a low-caste Ramdasia Chamar (tanner) family, Dil was the first of his clan to pass Class X, while doing his daily labour, and go to college. NEWLINE_TOKENNEWLINE_TOKENScheduled Castes in Sikh Community A Historical Perspective by Harish K Puri  http://www.sikhspectrum.com/112007/scheduled.pdfNEWLINE_TOKENNEWLINE_TOKENIn the customary scheme, outcastes such as mazhabis (Churah Sikh), balmikis and ramdasias (chamar Sikh)/ravidasias were notNEWLINE_TOKENallowed to own land.NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENPerspectives on Sikh Studies by Jagjit Singh (1985, published by Guru Nanak Foundation, Near J.N.U and Qutab Hotal New Delhi 110 067) http://www.globalsikhstudies.net/pdf/per-sikh-studies.pdfNEWLINE_TOKENNEWLINE_TOKENon Page 75,``The Ramdasia's or the Sikh Chamars occupt a much higher position than the Hindu Chamars``.NEWLINE_TOKENNEWLINE_TOKENOn page 77, ``By changing their name to Ramdasias, the Chamar Sikhs could alter positon in the Sikh case hierarchy, becoming Sikhs and refusing to marry or interdine with Chamar Hindus.NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENPunjab Government Website, Listing steps for getting a scheduled caste certificate. NEWLINE_TOKENNEWLINE_TOKENIn this website, the have listed: ``Chamar, Jatia Chamar,Rehgar, Raigar,Ramdasi of Ravidasi, Ramdasia, Ramdasia Sikh, Ravidasia, Ravidasia Sikh`` under the same bullet point indicating that all members belong to these castes are the same. http://india.gov.in/howdo/service_detail.php?formid=19NEWLINE_TOKENNEWLINE_TOKENWebsite http://www.sikhlink.com/Glossary.htm lists the following: NEWLINE_TOKEN``Ramdasia-  The Sikh section of the Chamar caste, an outcaste Sikh``NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENhttp://www.sikhsangat.com/index.php?showtopic=44491&st;=156, In the forum post 161, a member writes NEWLINE_TOKENNEWLINE_TOKEN``Sikhs who were formerly Hindu chamars but converted to Sikhism are referred to as RAMDASIA Sikhs. This is because Sikhism under Guru Ram Das saw the maximum conversion of Hindu Chamars to Sikhism``NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENWebsite http://www.ambedkartimes.com/page14.html on Kanshi RamNEWLINE_TOKENNEWLINE_TOKEN``Mr. Kanshi Ram was born in a Ramdasia ( Chamar ) low scheduled caste, dalit family on 15 March 1934 in village Khawaspur of Ropar district , Punjab, India.``NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENMatrimonial Profiles posted on the internetNEWLINE_TOKENNEWLINE_TOKENhttp://www.tribuneindia.com/2009/20090614/class-f.htmNEWLINE_TOKENNEWLINE_TOKENAlliance for Ramdasia/Chamar/Ad-dharmi 26/5'-3`` girl, pursuing B.A. Part I. Computer. Chandigarh family.  NEWLINE_TOKENNEWLINE_TOKENhttp://www.matrimonialsindia.com/main/detl1.php?sl=173609 ..Caste written as Ramdasia/Chamar`"
1	NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENI think that that is the point.  Had I been blocked by anyone else it would actually mean something.  But having the town's rogue cop giving you the once over is just unremarkable.   
0	NEWLINE_TOKENNEWLINE_TOKEN::OK I promise not to upload anymore. But some of these Scottish Castles are beutiful. It would be great to have pictures of them here on the Wikipedia.
1	" (UTC)NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENThanks for the kudos (though misguided)  all I did was fix a spelling error: excesive -> excessive.  07:00, 14 February 2006"
1	Hey guys! This guy is a cunt nigger faggot.NEWLINE_TOKENNEWLINE_TOKEN
1	"`NEWLINE_TOKENNEWLINE_TOKEN==mono plane===NEWLINE_TOKENI'm fine with not describing Aders ``hop' as flight. I only added Ader because he was before Vuia, and is generally agrreed to have hopped farther than Vuia hopped in 1906. I assume from your use of quotes that you probably agree that there is a general consensus that Ader got off the ground in 1890, (but not in his later craft) and that his all to brief sojourn in the air was basically uncontrolled and unsustained. If this is the case, how would you feel about aknowledging his ``hop`` of 50 meters at minimal altitude? I realize he made extravagant claims later in life which were unjustified, but still most sources credit him with being the first to leave the ground at all under his own power.  `"
0	"`NEWLINE_TOKENNEWLINE_TOKEN== Often mislabed ==NEWLINE_TOKENNEWLINE_TOKENSomebody should add that it's often mislabed as ``Love, Reign Over Me`` and ``Reign On Me``.`"
1	"NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENPlease stop adding nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you."
0	"`NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN==Speedy deletion of John dixon hunt==NEWLINE_TOKEN A tag has been placed on John dixon hunt, requesting that it be speedily deleted from Wikipedia per speedy deletion criterion A7. NEWLINE_TOKENNEWLINE_TOKENUnder the criteria for speedy deletion, articles that do not meet basic Wikipedia criteria may be deleted at any time. Please see the guidelines for what is generally accepted as an appropriate article, and if you can indicate why the subject of this article is appropriate, you may contest the tagging. To do this, add  on the top of the article and leave a note on the article's talk page explaining your position. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines. NEWLINE_TOKENNEWLINE_TOKENIf you think that this notice was placed here in error, you may contest the deletion. To do this, add  on the top of the page (just below the existing speedy deletion or ``db`` tag) and leave a note on the page's talk page explaining your position. Please do not remove the speedy deletion tag yourself.  `"
0	"`NEWLINE_TOKENNEWLINE_TOKEN:I was also kinda' thinking the original wisebread.com reference was looking sorta' like a redundant appendage once all the cruft had been trimmed outta' it. And as it provided the Bon App??tit link in the first place ... yeah, I'll trim that out. NEWLINE_TOKENNEWLINE_TOKEN:I'm inclined to wonder if it had been originally placed?Çöwith its ``expert PhD.`` BS padding?Çöas a bit of whimsy by 'Max Wong' herself ... , I just noticed the 'Simpson's pun' name choice. Doh!NEWLINE_TOKEN:[Ah, I just noticed that it was actually a different IP that added the spurious bits.]NEWLINE_TOKENNEWLINE_TOKEN:Anyway, I think it's interesting to note the existence of an origin story as long as it's revealed that its source is involved in marketing the sauce. NEWLINE_TOKENNEWLINE_TOKEN:, what's the source (site, article?) address  of that PDF link from Theparos Sauce? It's anomalous. The browser I'm using (Chrome) generally previews 'normal' (.pdf) PDF file links but that one goes straight to initiating an offer to download. It'd be of interest to me to have some provenance on the ``SRIRAJA PANICH, the Original ?Ç£Sriracha?Ç¥ Chili Sauce`` press release/advert itself.NEWLINE_TOKENNEWLINE_TOKEN:  `"
1	"`NEWLINE_TOKEN: Falsely claiming that I ``have continued with the same behavior``, eh? I'd like to know if you always lie that way, or if you just feel like lying on occasion. Oh, I'm sorry, I guess it might just be incompetence and not the willful lying it appears to be. Either way, it isn't true.  `"
1	 oops: its at iTunes in the infamous (apple) biased intro yet again...
0	"NEWLINE_TOKENNEWLINE_TOKEN==Flags==NEWLINE_TOKENI 100% agree with you User:Alansohn. I only did it because of him, as well as others User:Qed237, User:Meters etc. on Talk:Edmonton (please forward your input to this discussion as I need more support from people with the same opinion to keep flags). They insisted that the flags be taken down especially on Edmonton, Winnipeg, Yellowknife, Iqaluit, Whitehorse, Yukon etc. and threatened me with edit war and blocking violoations for adding flag icons when there is no set in stone rule. Would you mind adding the flags back to these cities, as I do not want to go over the 3RR. Thanks.   "
1	"`NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN:Hello.  To Jeffro77 above...  The original and first reference that I put in was Thomas Cahill, and his book The Gifts of the Jews - How a Tribe of Desert Nomads Changed the Way Everyone Thinks and Feels.   And I originally put that ref alone.  The Wilson ref came later on, from a search, and at the request of Jeppiz.   But Cahill alone I felt was overall sufficient at that point.  (And that Cahill book had literally zero to do with anything with Jehovah?ÇÖs witnesses, or any JW books or journals or sermons.)    That wasn?ÇÖt even on my mind in that sense, nor did I look at ANY Watchtower publications regarding this article or this specific matter.  Cahill had nothing to do with that.       And even Jeppiz admitted a number of times that it was a reliable source and ok.       But the Wilson source I provided here later on (and then soon on the article itself) was only at the demand of Jeppiz, for another source.   He kept insisting to find something else, etc, so I did a search, and the Wilson thing was even more pointed in a way, and it?ÇÖs in a pro-JW website, ?Ç£strictly genteel?Ç¥, which transcribed the noted WT book ?Ç£Is the Bible Really the Word of God??Ç¥, and the link can be found here http://www.strictlygenteel.co.uk/wordofgod/wordofgod4.html.       (Also, to DougWeller, hello.   I?ÇÖm still not sure why you say that I got the name of the book wrong.   That?ÇÖs what?ÇÖs stated as the source.    J.A. Wilson.   And ?Ç£The World History of the Jewish People?Ç¥.   At least that?ÇÖs he main part of the name of the book, and I believe Wilson was a co-author of that or something.)    But, to Jeffro, you seem to think (incorrectly) that I probably had the Wilson ref as paramount, when in actuality that was just a side thing and accident, because of subsequent demands and circumstances on this Talk page.   Cahill was actually my guy on this specific matter on the Exodus matter, NOT Wilson necessarily nearly as much.      The exact (in-context) quote from Cahill?ÇÖs book says this:   NEWLINE_TOKENNEWLINE_TOKEN:?Ç£When we examine the considerable extant literatures of Mesopotamia and Egypt, we find no obvious mention of the Israelites.  If, as the majority of scholars have provisionally concluded, Israel escaped from Egypt in the reign of Rameses II about midway through the thirteenth century B.C., why is there no record of this marvellous defeat in any Egyptian text or inscription?   Of course, the defeat may have been so embarrassing to Egypt that, like many great powers, it could not allow itself to record honestly what happened.    Alternatively, the story of the drowning of Pharaoh?ÇÖs army may have been inflated over time by Hebrew oral tradition, and what had been a minor skirmish in Egyptian eyes (we know, for instance, that Ramses II died not in a watery grave but in his bed) was eventually puffed up beyond all recognition.  Most radically:  the Exodus may never have taken place, but may be just a story concocted, like Gilgamesh, by nomadic herdsmen in need of an evening?ÇÖs entertainment.    This last hypothesis, though temptingly unambiguous, can be maintained only by ignoring  undeniable aspects of the actual text of the Bible.    There are real differences?Çöliterary differences, differences of tone and taste, but, far more important, differences of substance and approach to material?Çöbetween Gilgamesh and Exodus, and even between Gilgamesh and Genesis.``NEWLINE_TOKENNEWLINE_TOKEN:Cahill continues:   NEWLINE_TOKENNEWLINE_TOKEN:``The anonymous authors of Gilgamesh tell their story in the manner of a myth.  There is no attempt to convince us that anything in the story ever took place in historical time.   At every point, rather, we are reminded that the action is taking place ?Ç£once upon a time?Ç¥?Çöin other words, in that pristine Golden Time outside of meaningless earthly time.   The story of Gilgamesh, like the gods themselves, belong to the realm of the stars.   It is meant as a model for the hearers, who believed, in any case, that everything important, everything archeteypal, happened, had happened, was happening?Çöit is impossible to fix this occurrence clearly in one tense, since it occurs outside of time?Çöbeyond the earthly realm of unimportant instances.   For all the ancients (except the Israelites, the people who would become the Jews), time as we think of it was unreal; the Real was what was heavenly and archetypal.  For us, the heirs of the Jewish perception, the exact opposite is true:  earthly time is real time; Eternity, if we think of it at all, is the end of time (or simply an illusion).     The text of the Bible is full of clues that the authors are attempting to write history of some sort....But there is in these tales a kind of specificity?Çöa concreteness of detail, a concern to get things right?Çöthat convinces us that the writer has no doubt that each of the main events he chronicles happened.?Ç¥    NEWLINE_TOKENNEWLINE_TOKEN:He makes it pretty clear that, even though not saying it dogmatically, he does "
0	"NEWLINE_TOKENNEWLINE_TOKEN:I know little about Wikinews, but the last time I can find this discussed we agreed it wasn't an RS (I participated in the discussion. I don't think anything on Examiner.com should be used as a RS. As for the book, it can't be used until it's published as it's not verifiable, but Dunn is probably an RS.   "
0	NEWLINE_TOKENNEWLINE_TOKEN== What about that other clapping game? ==NEWLINE_TOKENNEWLINE_TOKENI mean the one played mainly at schools where you have to be the last person to clap after the round of applauds following an award or something? You must have heard or played it!  
1	"NEWLINE_TOKEN::No. I'm still sneaking- could lose my rights to live here for using this computer- so just checking. You know where all the images are to download and upload to Wikipedia, the way you do albums, right?  I just didn't want to leave you or Ellen hanging.   "
1	"`NEWLINE_TOKENNEWLINE_TOKEN==Regressive left==NEWLINE_TOKENNEWLINE_TOKENCan you take a moment to clarify what you meant by your edit summary, ``reading comprehension problems, here``, on the Talk page. Thanks.   `"
1	"`NEWLINE_TOKENNEWLINE_TOKENI just recall that De728631 has been considered involved after he blocked me during 3 days, a decision proven unfounded and cancelled after the appeal from  . It is cristal clear that there's nothing solved here, and I agree with ,  and  that the article has many other flaws that we could address first. NEWLINE_TOKEN* Culture: the section is indeed too big and should be thought as a glance inviting the interested reader to explore the Culture of Paris detailed article. We can also feel a certain trend to mix that section up with the more mainstream Culture of France article. I think an overhaul is necessary in order to focus more on the key elements to understand what is specific to the Paris identity: theatres, the movie industry, impressionist school, few key writers and singers, and the current state of today's Paris cultural life.NEWLINE_TOKEN* Landmarks by district: that section, currently listing 450 different buildings, is totally unreadable in its current form. It should be replaced by a more general ``Monuments and Landmarks`` section, if not by an even broader ``Visitor attractions`` section with not more than 20 different mentions. Once again, there is already a standalone article for the Landmarks in the City of Paris which is more reader-friendly for those wanting to explore a more detailed list of those.NEWLINE_TOKENEven if that doesn't solve ongoing conflicts, focusing first on these 2 sections is probably the best way to get back to more constructive contributions to the article.   `"
0	Oh Dear! What Can the Matter Be? is a traditional song. The lyrics are public domain.
1	"NEWLINE_TOKENNEWLINE_TOKEN== Just to note ==NEWLINE_TOKENNEWLINE_TOKENI still think you are a horrible person, scum, and should be thrown out o everything you're involved in.   "
1	"`NEWLINE_TOKEN: That wasn't an attack. It was an observation. The Wanderers is no more a ``greaser`` movie than West Side Story is. Or the Gangs of New York. Or Romeo and Juliet. Or the Iliad, for that matter. This post-modern obsession with jamming everything in life into some retarded Category Of Knowledge so that we can pretend to be wise is ... retarded. Hence, the comment.NEWLINE_TOKENNEWLINE_TOKEN: If you can't handle the heat, best stay out of the kitchen. But children can't do that these days, can they ?   `"
0	"NEWLINE_TOKENNEWLINE_TOKENAnte, Brcko district is not a part of Republika Srpska, just so you know."
0	"NEWLINE_TOKENNEWLINE_TOKEN== Disruptive editing ==NEWLINE_TOKENNEWLINE_TOKENI strongly suggest you take a break from editing all 9/11 related topics. You've only been here 4 days and you've already caused quite a lot of trouble. Please take a step back, review our policies and guidelines, and try to edit something you don't hold quite such dogmatic views about. Cheerio!    "
1	"NEWLINE_TOKEN===Dear editors...===NEWLINE_TOKENJust to make things clear, Wikipedia articles are not for advertising holiday resorts. They're also not for fluffing up someone's resume. They're not for making personal attacks, they're not for tarnishing someone's reputation. Whatever information is inserted into the biography of a living person (see WP:BLP) needs to be neutrally written and supported by reliable sources. But I think this is nothing new. I have started two sock puppet investigations so a CheckUser can figure out if any socking is going on. No further accusations, therefore, will be necessary: it's out of all of our hands right now. Thank you.   "
0	`NEWLINE_TOKENNEWLINE_TOKEN== The balls rolling ==NEWLINE_TOKENNEWLINE_TOKENI've made a few changes now to the page in hope that people will continue to develop this page. Bit more structure to the page aswell. Still think that ``(city)`` needs to be omitted or atleast changed from the title.`
1	"NEWLINE_TOKENNEWLINE_TOKENFriends the future of wikipedia lies in united or collaborative work, only thus will we be able to counter the extreme Communist and Neo-Liberal views that have brought about so much disaster and instability in world, it concerns me greatly to see these same poisonous views being expressed by irresponsible (or worse) users in these pages. I call for the formation of an international working group of users whose political and social vision is grounded in tradition, faith (Roman Catholic preferable, though all Christian groups welcome), physical and mental discipline. I await your considered responses. P.S. besides English, I am fluent in Castilian (mother tongue), French, and can read German. I also understand Italian, Latin, Portuguese, and Romanian. Thank you. "
0	", 29 November 2012 (UTC)NEWLINE_TOKEN::I don't see any down paragraphs except the differentiates between the date 6 February and February 6th.   21:43"
1	"The adminazi got me. Probably the Roland Freisler of Wikiland.NEWLINE_TOKENAfter some Blockwart turned me in. Wieki-Heil, so to say.NEWLINE_TOKENFortunately it is only virtual. The lanterns in Wikiland are also virtual, after we free it.NEWLINE_TOKEN  NEWLINE_TOKENNEWLINE_TOKEN"
0	intelligent and honest reader
0	NEWLINE_TOKEN:FYI: I've left the project as an editor. But thank you anyways.   
0	NEWLINE_TOKENNEWLINE_TOKENOk. What are these reliable sources? Unregistered Contributor 
0	I bet some weren't blind after Phillip IV gave them the light.NEWLINE_TOKENNEWLINE_TOKEN::  NEWLINE_TOKENNEWLINE_TOKEN
0	i think dapi misquoted glantz so i want to read the sources. i this false? and fact is that german units were back soon an started pounding russian units so i think dapi highlighted something which is not as cool as he thinks. value for the reader....   NEWLINE_TOKENNEWLINE_TOKEN
1	"NEWLINE_TOKEN::::::::::It's you who is doing original research by sucking dick of allmovie and not giving sources to why IB is an adventure film, Schindler's List was a man on a mission to save the jaws, is it an adventure film cocksucker?   "
0	NEWLINE_TOKENNEWLINE_TOKENHow do I report another user for doing the exact same thing as me which should have been picked up by User:Escape_Orbit ?
0	"NEWLINE_TOKENNEWLINE_TOKEN== Please mention Michael Anderson in your article. ==NEWLINE_TOKENNEWLINE_TOKENStar Wars is not loosely based on the Hidden Fortress.  Star wars is a remake of the first two-thirds of the Hidden Fortress.  The movie follows the Hidden Fortress closely until after the spear duel.  That is where the similarity ends.  It is then that the movie is a remake of the final battle of The Damnbusters.  NEWLINE_TOKENNEWLINE_TOKENThe Damnbusters is 1954 Micheal Anderson film depicting a battle in which british bombers make attack runs at low altitude along a river trench to launch bouncing bombs at precise moments to destroy nazi damns.  They are harried by enemy fighters and guns mounted on the damns.  Even the targeting methods they use are strikingly similar to the targeting computers used in star wars.NEWLINE_TOKENNEWLINE_TOKENIf you wish to be accurate and fair you should give credit to both Kurosawa and Michael Anderson.  If you watch both movies you will see that Star Wars is not loosely remade of either one, but it is a remake of both.  It is two thirds Hidden Fortress/one third Damnbusters.NEWLINE_TOKENNEWLINE_TOKENI am a huge fan of Star Wars and George Lucas.  His great gift was taking two old, totally unrelated, stories and creating the greatest sci-fi movie of all time.  He introduced many new, rich, bold, characters and created an entire saga around this one remake.  I just feel very strongly that credit should be given where credit is due.  I appluad you for giving credit to Akira Kurosawa and ask you extend the same courtesy to Michael Anderson."
1	"1991, look up August 27 & then tell me what day it is, stupid!  NEWLINE_TOKENNEWLINE_TOKEN"
0	"NEWLINE_TOKEN:::I will say no more than this: I did not edit my text. Secondly, I saw using big text and bold an italics so I don't want to hear ANYMORE about it!  NEWLINE_TOKEN"
0	"NEWLINE_TOKEN:This article should remain Islamic extremeist terrorismas thats what it is, as for Zionist political violence i think it should be called Zionist extremist terrorism. If a renaming comes up feel free to drop a line to me on my talk page and i'll happily argue for that. "
0	NEWLINE_TOKENNEWLINE_TOKEN   Wikipedia:Requests for adminship/Areeb_cool
